WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
12.2,Receive/review quote,T+77d ,T+86d ,80,2w,80,2w,0%,,,,,,,,,12.1,,0,,
12.3,Review contract paperwork,T+87d ,T+91d ,40,1w,40,1w,0%,,,,,,,,,12.2,,0,,
12.4,update budget,T+92d ,T+96d ,40,1w,40,1w,0%,,,,,,,,,12.3,,0,,
12.5,Sign MSA (Master Services Agreement),T+97d ,T+106d ,80,2w,80,2w,0%,,,,,,,,,12.4,,0,,
12.6,Sign Order (actual order),T+107d ,T+108d ,16,2d,16,2d,0%,,,,,,,,,12.5,,0,,
13,vendor set up - sundries,T+18d ,T+19d ,16,2d,144,3w 3d,0%,,,,,,,,,3,,,,
13.1,grainger,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.2,anixter,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.3,graybar,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.4,amazon,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.5,cdw,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.6,Quail,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.7,DatacenterGear,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.8,FiberStore,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
13.9,Flexoptix,T+18d ,T+19d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
14,vendor set up - network reseller,T+18d ,T+44d ,216,1mo 1w 2d,216,1mo 1w 2d,0%,,,,,,,,,3,,,,
14.1,"interview resellers,",T+18d ,T+27d ,80,2w,80,2w,0%,,,,,,,,,,,0,,
14.2,request quote,T+28d ,T+32d ,40,1w,40,1w,0%,,,,,,,,,14.1,,0,,
14.3,Review contract paperwork,T+33d ,T+42d ,80,2w,80,2w,0%,,,,,,,,,14.2,,0,,
14.4,Sign Order (actual order),T+43d ,T+44d ,16,2d,16,2d,0%,,,,,,,,,14.3,,0,,
15,vendor set up - Integrator,T+108d ,T+135d ,224,1mo 1w 3d,304,1mo 3w 3d,0%,,,,,,,,,"5.11, 14.4",,,,
15.1,interview integrators,T+108d ,T+117d ,80,2w,80,2w,0%,,,,,,,,,3,,0,,
15.2,visit location,T+108d ,T+112d ,40,1w,40,1w,0%,,,,,,,,,,,0,,
15.3,Request quote,T+113d ,T+122d ,80,2w,80,2w,0%,,,,,,,,,15.2,,0,,
15.4,Review contract paperwork,T+123d ,T+124d ,16,2d,16,2d,0%,,,,,,,,,15.3,,0,,
15.5,revise bom,T+125d ,T+128d ,32,4d,32,4d,0%,,,,,,,,,15.4,,0,,
15.6,layout and cabling verification,T+129d ,T+133d ,40,1w,40,1w,0%,,,,,,,,,15.5,,0,,
