WBS Number,Title,Start,End,Duration hours,Duration,Effort hours,Effort,Completed,Task Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Start After,End Before,Prerequisites,Notes,Priority,Resources Cost,Total Task Cost
12.3,Review contract paperwork,T+56d ,T+57d ,16,2d,16,2d,0%,,,,,,,,,12.2,,0,,
12.4,update budget,T+58d ,T+58d ,8,1d,8,1d,0%,,,,,,,,,12.3,,0,,
12.5,Sign MSA (Master Services Agreement),T+59d ,T+60d ,16,2d,16,2d,0%,,,,,,,,,12.4,,0,,
12.6,Sign Order (actual order),T+61d ,T+61d ,8,1d,8,1d,0%,,,,,,,,,12.5,,0,,
13,vendor set up - sundries,T+10d ,T+10d ,8,1d,72,1w 4d,0%,,,,,,,,,3,,,,
13.1,grainger,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.2,anixter,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.3,graybar,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.4,amazon,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.5,cdw,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.6,Quail,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.7,DatacenterGear,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.8,FiberStore,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
13.9,Flexoptix,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
14,vendor set up - network reseller,T+10d ,T+13d ,32,4d,32,4d,0%,,,,,,,,,3,,,,
14.1,"interview resellers,",T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
14.2,request quote,T+11d ,T+11d ,8,1d,8,1d,0%,,,,,,,,,14.1,,0,,
14.3,Review contract paperwork,T+12d ,T+12d ,8,1d,8,1d,0%,,,,,,,,,14.2,,0,,
14.4,Sign Order (actual order),T+13d ,T+13d ,8,1d,8,1d,0%,,,,,,,,,14.3,,0,,
15,vendor set up - Integrator,T+77d ,T+86d ,80,2w,96,2w 2d,0%,,,,,,,,,"5.11, 14.4",,,,
15.1,interview integrators,T+77d ,T+78d ,16,2d,16,2d,0%,,,,,,,,,3,,0,,
15.2,visit location,T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
15.3,Request quote,T+78d ,T+79d ,16,2d,16,2d,0%,,,,,,,,,15.2,,0,,
15.4,Review contract paperwork,T+80d ,T+81d ,16,2d,16,2d,0%,,,,,,,,,15.3,,0,,
15.5,revise bom,T+82d ,T+83d ,16,2d,16,2d,0%,,,,,,,,,15.4,,0,,
15.6,layout and cabling verification,T+84d ,T+85d ,16,2d,16,2d,0%,,,,,,,,,15.5,,0,,
15.7,Sign Order (actual order),T+86d ,T+86d ,8,1d,8,1d,0%,,,,,,,,,"5.11, 15.6",,0,,
16,Sundries:,T+10d ,T+77d ,544,3mo 1w 3d,32,4d,0%,,,,,,,,,3,,,,
16.1,add parts to shopping lists,T+10d ,T+11d ,16,2d,16,2d,0%,,,,,,,,,,,0,,
16.2,update budget,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
16.3,order parts.,T+77d ,T+77d ,8,1d,8,1d,0%,,,,,,,,,5.11,,0,,
17,LOCAL RIR (eg: ARIN),T+10d ,T+31d ,176,1mo 2d,176,1mo 2d,0%,,,,,,,,,3,,,,
17.1,Create POC Record,T+10d ,T+10d ,8,1d,8,1d,0%,,,,,,,,,,,0,,
17.2,Create ORGid,T+11d ,T+13d ,24,3d,24,3d,0%,,,,,,,,,17.1,,0,,
17.3,ASN Request,T+14d ,T+16d ,24,3d,24,3d,0%,,,,,,,,,17.2,,0,,
17.4,IPv6 request,T+17d ,T+19d ,24,3d,24,3d,0%,,,,,,,,,17.3,,0,,
17.5,IPv4 transfer pre-approval,T+20d ,T+22d ,24,3d,24,3d,0%,,,,,,,,,17.4,,0,,
17.6,IPv4 waiting list,T+23d ,T+25d ,24,3d,24,3d,0%,,,,,,,,,17.5,,0,,
17.7,procure IPv4 space from broker market,T+26d ,T+28d ,24,3d,24,3d,0%,,,,,,,,,17.6,,0,,
17.8,Update Budget,T+29d ,T+29d ,8,1d,8,1d,0%,,,,,,,,,17.7,,0,,
17.9,Create Routing Objects.,T+30d ,T+30d ,8,1d,8,1d,0%,,,,,,,,,17.8,,0,,
17.10,Update network providers on IP/ASN info,T+31d ,T+31d ,8,1d,8,1d,0%,,,,,,,,,17.9,,0,,
18,IMPLEMENTATION PHASE,T+78d ,T+78d ,,,,,0%,,,,,,,,,"5, 10, 11",,,,
19,Increase meeting cadence,T day ,T day ,8,1d,8,1d,0%,,,,,,,,,,,0,,
20,Integrator,T+51d ,T+80d ,240,1mo 2w,176,1mo 2d,0%,,,,,,,,,5.4,,,,
20.1,Rack build time (parts arrival),T+51d ,T+65d ,120,3w,120,3w,0%,,,,,,,,,,,0,,
20.2,Confirm rack assembly.,T+66d ,T+66d ,8,1d,8,1d,0%,,,,,,,,,20.1,,0,,
20.3,provide pre-configuration (if needed),T+67d ,T+68d ,16,2d,16,2d,0%,,,,,,,,,20.2,,0,,
